馬番,馬齢,オッズ,斤量,脚質,総合値,SP 値,AG 値,SA 値,馬連率,戦数,賞金平均,KI 値,id,race
5,牡3,1.7,56,2 先,50.0,55.0,100.0,101.0,0.0,2.0,95.0,15.0,20130303_小倉_結果_1,1
6,牡3,7.9,56,2 先,27.0,85.0,95.0,81.0,0.0,7.0,41.0,20.0,20130303_小倉_結果_1,1
9,牡3,13.8,56,3 差,26.0,45.0,65.0,78.0,0.0,5.0,34.0,30.0,20130303_小倉_結果_1,1
3,牝3,16.4,54,2 先,10.0,35.0,76.0,89.0,0.0,5.0,15.0,15.0,20130303_小倉_結果_1,1
8,牡3,9.6,56,3 差,27.0,85.0,88.0,79.0,0.0,4.0,37.0,20.0,20130303_小倉_結果_1,1
11,牝3,39.2,54,3 差,20.0,40.0,94.0,80.0,0.0,3.0,60.0,25.0,20130303_小倉_結果_1,1
12,牝3,6.1,54,1 逃,29.0,55.0,95.0,92.0,25.0,4.0,62.0,30.0,20130303_小倉_結果_1,1
2,牡3,175.5,53,3 差,18.0,35.0,48.0,76.0,0.0,12.0,0.0,10.0,20130303_小倉_結果_1,1
1,牡3,33.7,54,3 差,17.0,50.0,78.0,73.0,0.0,2.0,45.0,15.0,20130303_小倉_結果_1,1
16,牝3,63.0,52,2 先,9.0,0.0,79.0,70.0,0.0,4.0,12.0,20.0,20130303_小倉_結果_1,1
4,牡3,242.7,56,3 差,5.0,0.0,67.0,76.0,0.0,9.0,0.0,15.0,20130303_小倉_結果_1,1
7,牡3,157.7,56,4 追,5.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,20130303_小倉_結果_1,1
14,牝3,42.9,54,2 先,19.0,0.0,20.0,38.0,0.0,4.0,60.0,35.0,20130303_小倉_結果_1,1
10,牡3,98.0,56,4 追,16.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,20130303_小倉_結果_1,1
15,牡3,66.8,56,2 先,11.0,0.0,68.0,53.0,0.0,7.0,0.0,10.0,20130303_小倉_結果_1,1
13,牡3,123.4,56,4 追,16.0,10.0,42.0,51.0,0.0,12.0,0.0,20.0,20130303_小倉_結果_1,1
10,牡4,4.0,57,3 差,28.0,80.0,74.0,104.0,20.0,15.0,54.0,20.0,20130303_小倉_結果_2,2
14,牡5,5.2,55,2 先,22.0,50.0,100.0,106.0,25.0,24.0,34.0,20.0,20130303_小倉_結果_2,2
3,牡4,3.0,57,1 逃,26.0,65.0,8.0,113.0,50.0,4.0,217.0,25.0,20130303_小倉_結果_2,2
4,牡5,22.8,54,2 先,7.0,30.0,0.0,71.0,18.0,11.0,0.0,0.0,20130303_小倉_結果_2,2
13,牡4,13.3,57,2 先,56.0,100.0,25.0,93.0,12.0,16.0,20.0,35.0,20130303_小倉_結果_2,2
11,牡4,10.1,57,2 先,29.0,50.0,58.0,99.0,10.0,10.0,64.0,30.0,20130303_小倉_結果_2,2
6,セ5,65.5,54,3 差,12.0,45.0,65.0,91.0,16.0,24.0,34.0,10.0,20130303_小倉_結果_2,2
1,牡4,57.9,57,4 追,7.0,0.0,0.0,117.0,50.0,10.0,17.0,15.0,20130303_小倉_結果_2,2
2,牝5,17.3,55,3 差,26.0,60.0,70.0,99.0,14.0,21.0,85.0,20.0,20130303_小倉_結果_2,2
5,牝4,22.5,55,3 差,22.0,40.0,28.0,85.0,18.0,11.0,20.0,25.0,20130303_小倉_結果_2,2
7,牝5,13.1,53,3 差,14.0,25.0,36.0,93.0,10.0,20.0,35.0,15.0,20130303_小倉_結果_2,2
9,牡5,35.3,57,3 差,21.0,30.0,32.0,88.0,5.0,17.0,0.0,25.0,20130303_小倉_結果_2,2
12,牡5,104.2,57,3 差,28.0,60.0,0.0,89.0,16.0,12.0,0.0,25.0,20130303_小倉_結果_2,2
8,牝6,55.5,55,4 追,16.0,0.0,0.0,43.0,25.0,4.0,175.0,20.0,20130303_小倉_結果_2,2
15,牡3,8.6,56,3 差,19.0,50.0,20.0,80.0,0.0,3.0,36.0,15.0,20130303_小倉_結果_3,3
13,牡3,3.3,56,2 先,48.0,75.0,85.0,96.0,33.0,3.0,118.0,25.0,20130303_小倉_結果_3,3
5,牡3,20.3,56,2 先,9.0,0.0,100.0,72.0,0.0,2.0,0.0,20.0,20130303_小倉_結果_3,3
1,牝3,9.8,54,1 逃,26.0,75.0,85.0,92.0,20.0,5.0,76.0,25.0,20130303_小倉_結果_3,3
2,牝3,7.5,52,2 先,18.0,0.0,0.0,70.0,25.0,4.0,81.0,20.0,20130303_小倉_結果_3,3
8,牝3,70.3,54,3 差,14.0,55.0,92.0,84.0,0.0,8.0,15.0,15.0,20130303_小倉_結果_3,3
4,牡3,112.4,56,3 差,19.0,0.0,40.0,54.0,0.0,7.0,0.0,25.0,20130303_小倉_結果_3,3
6,牡3,8.1,54,1 逃,18.0,65.0,67.0,97.0,0.0,7.0,10.0,15.0,20130303_小倉_結果_3,3
12,牝3,268.0,51,3 差,11.0,0.0,20.0,26.0,0.0,5.0,0.0,10.0,20130303_小倉_結果_3,3
18,牝3,7.5,54,3 差,22.0,55.0,71.0,88.0,14.0,7.0,60.0,20.0,20130303_小倉_結果_3,3
3,牝3,196.0,54,4 追,5.0,0.0,0.0,36.0,0.0,2.0,0.0,15.0,20130303_小倉_結果_3,3
9,牝3,12.4,54,2 先,18.0,0.0,76.0,81.0,0.0,2.0,35.0,30.0,20130303_小倉_結果_3,3
7,牝3,13.8,54,3 差,12.0,45.0,56.0,86.0,50.0,2.0,120.0,15.0,20130303_小倉_結果_3,3
11,牝3,12.8,51,2 先,16.0,70.0,8.0,81.0,0.0,3.0,0.0,10.0,20130303_小倉_結果_3,3
17,牝3,77.5,54,3 差,5.0,0.0,48.0,72.0,0.0,2.0,0.0,15.0,20130303_小倉_結果_3,3
14,牡3,246.7,56,3 差,18.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,20130303_小倉_結果_3,3
10,牝3,99.5,54,3 差,19.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,20130303_小倉_結果_3,3
16,牝3,174.6,54,4 追,5.0,0.0,0.0,49.0,0.0,1.0,0.0,15.0,20130303_小倉_結果_3,3
3,牝3,25.0,54,2 先,18.0,0.0,83.0,82.0,12.0,8.0,41.0,15.0,20130303_小倉_結果_4,4
6,牝3,7.5,54,3 差,30.0,0.0,70.0,98.0,0.0,3.0,85.0,30.0,20130303_小倉_結果_4,4
10,牝3,97.7,52,2 先,20.0,0.0,52.0,76.0,0.0,2.0,0.0,20.0,20130303_小倉_結果_4,4
8,牝3,14.1,54,2 先,9.0,0.0,8.0,70.0,0.0,1.0,60.0,25.0,20130303_小倉_結果_4,4
13,牝3,3.9,54,2 先,22.0,0.0,90.0,104.0,33.0,6.0,80.0,25.0,20130303_小倉_結果_4,4
9,牝3,27.1,54,2 先,14.0,0.0,96.0,88.0,0.0,2.0,55.0,20.0,20130303_小倉_結果_4,4
7,牝3,3.4,54,3 差,45.0,0.0,100.0,104.0,33.0,3.0,153.0,30.0,20130303_小倉_結果_4,4
12,牝3,10.1,52,2 先,5.0,0.0,84.0,85.0,0.0,2.0,55.0,15.0,20130303_小倉_結果_4,4
4,牝3,169.5,54,3 差,17.0,0.0,82.0,84.0,16.0,6.0,40.0,20.0,20130303_小倉_結果_4,4
5,牝3,4.1,54,2 先,32.0,0.0,80.0,98.0,33.0,3.0,66.0,30.0,20130303_小倉_結果_4,4
14,牝3,243.4,54,3 差,31.0,0.0,76.0,82.0,0.0,6.0,10.0,35.0,20130303_小倉_結果_4,4
2,牝3,56.1,54,4 追,18.0,0.0,44.0,76.0,0.0,1.0,0.0,25.0,20130303_小倉_結果_4,4
16,牝3,46.9,54,2 先,18.0,0.0,54.0,71.0,0.0,2.0,0.0,25.0,20130303_小倉_結果_4,4
11,牝3,346.6,54,4 追,10.0,0.0,42.0,75.0,0.0,2.0,0.0,15.0,20130303_小倉_結果_4,4
1,牝3,166.2,54,3 差,14.0,0.0,83.0,85.0,9.0,11.0,36.0,5.0,20130303_小倉_結果_4,4
18,牝3,152.7,51,3 差,9.0,0.0,60.0,75.0,0.0,4.0,0.0,0.0,20130303_小倉_結果_4,4
17,牝3,355.6,54,3 差,17.0,0.0,64.0,76.0,0.0,4.0,12.0,15.0,20130303_小倉_結果_4,4
15,牝3,316.3,54,4 追,11.0,0.0,40.0,53.0,0.0,2.0,0.0,10.0,20130303_小倉_結果_4,4
1,牡3,4.9,56,3 差,32.0,75.0,73.0,105.0,0.0,5.0,41.0,30.0,20130303_小倉_結果_5,5
4,牡3,3.1,56,2 先,5.0,0.0,100.0,95.0,0.0,1.0,150.0,15.0,20130303_小倉_結果_5,5
7,牡3,14.3,53,2 先,23.0,90.0,78.0,95.0,0.0,7.0,78.0,10.0,20130303_小倉_結果_5,5
9,牡3,6.3,56,3 差,33.0,75.0,60.0,109.0,0.0,5.0,73.0,35.0,20130303_小倉_結果_5,5
14,牡3,7.6,54,3 差,23.0,80.0,56.0,97.0,33.0,6.0,85.0,20.0,20130303_小倉_結果_5,5
8,牡3,41.6,56,3 差,26.0,60.0,55.0,84.0,0.0,2.0,60.0,25.0,20130303_小倉_結果_5,5
6,牝3,9.2,54,2 先,32.0,80.0,29.0,93.0,0.0,2.0,65.0,30.0,20130303_小倉_結果_5,5
16,牡3,18.5,56,3 差,26.0,60.0,62.0,89.0,0.0,5.0,62.0,25.0,20130303_小倉_結果_5,5
12,牡3,25.5,56,4 追,19.0,10.0,10.0,77.0,0.0,3.0,36.0,20.0,20130303_小倉_結果_5,5
3,牡3,122.7,53,4 追,7.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,20130303_小倉_結果_5,5
15,牡3,39.6,56,3 差,18.0,0.0,0.0,78.0,0.0,2.0,0.0,30.0,20130303_小倉_結果_5,5
5,牡3,41.7,56,2 先,9.0,0.0,9.0,66.0,0.0,1.0,0.0,20.0,20130303_小倉_結果_5,5
2,牝3,32.7,54,3 差,12.0,0.0,13.0,61.0,0.0,1.0,0.0,25.0,20130303_小倉_結果_5,5
11,牡3,82.3,54,2 先,18.0,90.0,30.0,92.0,0.0,6.0,15.0,15.0,20130303_小倉_結果_5,5
13,牝3,23.3,54,1 逃,48.0,100.0,55.0,83.0,33.0,9.0,81.0,5.0,20130303_小倉_結果_5,5
10,牡3,165.9,56,4 追,9.0,0.0,5.0,74.0,0.0,1.0,0.0,20.0,20130303_小倉_結果_5,5
3,牝5,5.8,55,3 差,36.0,100.0,75.0,108.0,14.0,14.0,65.0,30.0,20130303_小倉_結果_6,6
6,牝6,16.9,52,3 差,11.0,25.0,100.0,102.0,28.0,28.0,42.0,10.0,20130303_小倉_結果_6,6
2,牝6,16.1,55,3 差,29.0,70.0,59.0,115.0,20.0,10.0,72.0,30.0,20130303_小倉_結果_6,6
13,牝4,62.7,55,4 追,10.0,35.0,59.0,98.0,20.0,10.0,58.0,15.0,20130303_小倉_結果_6,6
10,牝4,4.9,55,2 先,22.0,25.0,27.0,110.0,11.0,9.0,134.0,30.0,20130303_小倉_結果_6,6
17,牝4,9.2,55,3 差,24.0,55.0,34.0,105.0,0.0,6.0,47.0,25.0,20130303_小倉_結果_6,6
16,牝4,25.3,53,2 先,14.0,25.0,0.0,72.0,30.0,13.0,13.0,20.0,20130303_小倉_結果_6,6
7,牝4,15.9,55,1 逃,12.0,45.0,37.0,108.0,33.0,9.0,92.0,15.0,20130303_小倉_結果_6,6
11,牝4,48.2,55,4 追,33.0,75.0,26.0,108.0,11.0,17.0,32.0,35.0,20130303_小倉_結果_6,6
14,牝5,22.7,55,2 先,22.0,50.0,31.0,102.0,11.0,17.0,0.0,25.0,20130303_小倉_結果_6,6
4,牝5,33.8,52,2 先,7.0,35.0,58.0,109.0,20.0,25.0,19.0,0.0,20130303_小倉_結果_6,6
18,牝5,52.5,55,4 追,12.0,30.0,19.0,114.0,31.0,19.0,25.0,15.0,20130303_小倉_結果_6,6
5,牝5,3.2,55,2 先,20.0,65.0,46.0,107.0,14.0,14.0,80.0,20.0,20130303_小倉_結果_6,6
8,牝4,26.8,55,2 先,12.0,30.0,5.0,78.0,20.0,15.0,38.0,15.0,20130303_小倉_結果_6,6
12,牝4,131.2,55,3 差,7.0,15.0,6.0,83.0,12.0,8.0,0.0,0.0,20130303_小倉_結果_6,6
15,牝4,38.6,53,3 差,14.0,55.0,51.0,118.0,10.0,10.0,22.0,15.0,20130303_小倉_結果_6,6
1,牝4,177.2,55,1 逃,5.0,0.0,0.0,0.0,37.0,8.0,3.0,15.0,20130303_小倉_結果_6,6
9,牝4,36.2,55,4 追,7.0,0.0,19.0,0.0,21.0,14.0,116.0,20.0,20130303_小倉_結果_6,6
10,牡4,16.0,57,3 差,37.0,90.0,91.0,106.0,8.0,12.0,126.0,30.0,20130303_小倉_結果_7,7
13,牡4,3.0,57,2 先,36.0,100.0,79.0,106.0,66.0,6.0,252.0,25.0,20130303_小倉_結果_7,7
8,牡5,168.4,57,4 追,18.0,35.0,91.0,78.0,13.0,23.0,13.0,20.0,20130303_小倉_結果_7,7
6,牡5,7.0,57,2 先,26.0,60.0,98.0,106.0,27.0,11.0,251.0,20.0,20130303_小倉_結果_7,7
16,牡5,25.9,57,2 先,21.0,80.0,60.0,90.0,5.0,17.0,13.0,15.0,20130303_小倉_結果_7,7
3,牡4,74.3,57,3 差,16.0,50.0,35.0,108.0,11.0,17.0,52.0,15.0,20130303_小倉_結果_7,7
